id,ts_unix_ms,x_m,y_m,theta_rad,connected,ssid,bssid,rssi_dbm,freq_mhz,roam_event,disconnect_event,disconnect_streak_s,ping_loss_pct,ping_avg_ms
168,1767920909461,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
169,1767920909965,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
170,1767920910470,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
171,1767920910988,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
172,1767920911492,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
173,1767920911997,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
174,1767920912501,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-55,5240,0,0,0.0,,
175,1767920913006,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-55,5240,0,0,0.0,,
176,1767920913510,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
177,1767920914015,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
178,1767920914519,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
179,1767920915025,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
180,1767920915530,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
181,1767920916049,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
182,1767920916553,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-49,5240,0,0,0.0,,
183,1767920917058,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-49,5240,0,0,0.0,,
184,1767920917562,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-49,5240,0,0,0.0,,
185,1767920918067,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-44,5240,0,0,0.0,,
186,1767920918571,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-44,5240,0,0,0.0,,
187,1767920919076,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-44,5240,0,0,0.0,,
188,1767920919581,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
189,1767920920086,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
190,1767920920589,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
191,1767920921107,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
192,1767920921611,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
