ts_s,x_m,y_m,rssi_dbm,ssid,bssid,roam_event
102.0,51.0,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
103.0,51.5,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
104.0,52.0,0.0,-45,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
105.0,52.5,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
106.0,53.0,0.0,-51,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
107.0,53.5,0.0,-48,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
108.0,54.0,0.0,-52,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
109.0,54.5,0.0,-52,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
110.0,55.0,0.0,-57,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
111.0,55.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
112.0,56.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
113.0,56.5,0.0,-52,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
114.0,57.0,0.0,-56,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
115.0,57.5,0.0,-51,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
116.0,58.0,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
117.0,58.5,0.0,-52,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
118.0,59.0,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
119.0,59.5,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
120.0,60.0,0.0,-54,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
121.0,60.5,0.0,-54,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
122.0,61.0,0.0,-48,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
123.0,61.5,0.0,-48,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
124.0,62.0,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
125.0,62.5,0.0,-56,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
126.0,63.0,0.0,-54,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
127.0,63.5,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
128.0,64.0,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
129.0,64.5,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
130.0,65.0,0.0,-54,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
131.0,65.5,0.0,-57,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
132.0,66.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
133.0,66.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
134.0,67.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
135.0,67.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
136.0,68.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
137.0,68.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
138.0,69.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
139.0,69.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
140.0,70.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
141.0,70.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
142.0,71.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
143.0,71.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
144.0,72.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
145.0,72.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
146.0,73.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
147.0,73.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
148.0,74.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
149.0,74.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
150.0,75.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
151.0,75.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
152.0,76.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
153.0,76.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
154.0,77.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
155.0,77.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
156.0,78.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
157.0,78.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
158.0,79.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
159.0,79.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
160.0,80.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
161.0,80.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
162.0,81.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
163.0,81.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
164.0,82.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
165.0,82.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
166.0,83.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
167.0,83.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
168.0,84.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
169.0,84.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
170.0,85.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
171.0,85.5,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
172.0,86.0,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
173.0,86.5,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
174.0,87.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
175.0,87.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
176.0,88.0,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
177.0,88.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
178.0,89.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
179.0,89.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
